Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|17. Preferred Type of Occupation ---- SCALE
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|17. Preferred Type of Occupation ---- SCALE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|17. Preferred Type of Occupation ---- SCALE
1 (Work abroad) |9.6|12.9|13.6|14.1|12.5|9.7|6.7|14.5|11.2|7.3|5.2|9.9|9.2|8|8.8|17.5|9.8|9.3|17. Preferred Type of Occupation ---- SCALE
2.0|5.3|5.7|1.9|5.7|5.9|5.5|4.7|6.3|5.6|4.7|4.8|5.5|5.1|5.2|4.9|7.0|5.5|5.1|17. Preferred Type of Occupation ---- SCALE
3.0|5.3|4.6|10.5|4.7|4.3|5.8|5.0|6.6|5.9|5.0|3.4|5.0|5.5|4.5|5.4|7.7|4.7|5.8|17. Preferred Type of Occupation ---- SCALE
4.0|10.3|10.9|15.5|11.0|10.7|10.0|10.5|11.3|10.1|11.0|9.0|10.2|10.5|9.4|10.7|12.7|11.4|9.5|17. Preferred Type of Occupation ---- SCALE
5.0|14.4|14.0|10.9|16.4|13.5|14.6|14.5|12.8|14.9|14.7|14.9|13.8|15.0|14.2|16.1|10.3|14.9|14.0|17. Preferred Type of Occupation ---- SCALE
6.0|20.3|20.8|24.0|19.8|21.0|20.0|20.2|16.4|19.3|21.3|23.7|20.3|20.2|21.4|20.4|15.8|21.0|19.6|17. Preferred Type of Occupation ---- SCALE
7 (Work in the Philippines)|34.7|30.8|23.5|28.3|31.8|34.4|38.3|31.9|32.8|35.7|38.8|35.2|34.2|37.3|33.6|29|32.6|36.5|17. Preferred Type of Occupation ---- SCALE
REFUSED|*|*|-|-|*|*|-|*|-|*|-|*|*|*|*|-|*|*|17. Preferred Type of Occupation ---- SCALE
DON’T KNOW|*|*|-|-|*|-|*|*|*|-|-|*|*|-|*|-|*|*|17. Preferred Type of Occupation ---- SCALE
